timediff_mean,distance_mean,speed_mean,acc_mean,bearing_mean,timediff_min,distance_min,speed_min,acc_min,bearing_min,timediff_max,distance_max,speed_max,acc_max,bearing_max,timediff_median,distance_median,speed_median,acc_median,bearing_median,timediff_std,distance_std,speed_std,acc_std,bearing_std,class
1817.42948718,172.616474359,0.17,-0.00102564102564,183.940320513,50.0,0.0,0.0,-0.15,0.0,6869.0,1024.61,7.44,-0.0,359.63,1648.5,127.54,0.06,-0.0,179.63,929.612066938,184.075075139,0.619775193375,0.0120311148857,120.57462995,DEER
2781.81273408,242.060449438,0.151086142322,0.000187265917603,181.882022472,132.0,0.0,0.0,-0.02,0.0,174382.0,7229.86,5.37,0.1,359.97,1935.0,127.53,0.05,0.0,179.62,10586.7683118,533.213831879,0.412534733187,0.00633958701725,117.912512414,DEER
2668.41142857,249.292971429,0.170342857143,-0.000114285714286,170.104,148.0,0.0,0.0,-0.03,0.0,13505.0,1130.53,6.01,0.01,359.63,2148.0,142.46,0.06,0.0,179.63,1782.60512317,252.418955338,0.506758798122,0.00262362639016,116.409706596,DEER
2542.02521008,272.951890756,0.166932773109,-0.000210084033613,193.947815126,64.0,0.0,0.0,-0.03,0.0,9262.0,2592.92,8.79,-0.0,359.63,2138.0,134.605,0.06,0.0,182.83,1452.40589555,375.639973477,0.591277887093,0.00214406825565,117.929125734,DEER
13034.8301887,303.41754717,0.201698113208,-0.000566037735849,204.945660377,106.0,0.0,0.0,-0.03,0.0,559862.0,2138.57,3.84,0.0,359.62,2128.0,173.88,0.07,-0.0,179.62,76566.9887853,361.117299981,0.546213313674,0.00412081691846,117.982552744,DEER
3792.01459854,189.919781022,0.177664233577,-0.00167883211679,175.820072993,54.0,0.0,0.0,-0.24,0.0,60105.0,1310.93,13.15,0.01,359.63,2068.0,88.39,0.03,0.0,179.63,6341.84586924,236.978898711,1.12505572592,0.0205286508205,124.542023244,DEER
4683.21705426,204.791627907,0.088992248062,-0.000387596899225,171.775348837,43.0,0.0,0.0,-0.05,0.0,34191.0,1172.54,2.06,-0.0,359.63,3656.0,157.95,0.04,-0.0,182.84,4604.4002968,203.621316982,0.239272481184,0.00440225453163,113.764085117,DEER
4797.72222222,236.991190476,0.0788095238095,-7.93650793651e-05,188.695634921,199.0,0.0,0.0,-0.01,0.0,26932.0,1288.82,1.41,0.0,359.63,3772.5,171.06,0.035,0.0,185.22,3035.95193279,227.329980863,0.158803562393,0.000890870806375,113.761966984,DEER
5471.18584071,238.145752212,0.0677876106195,-8.84955752212e-05,169.97619469,98.0,0.0,0.0,-0.01,0.0,22383.0,1166.46,0.97,0.0,359.63,3845.0,170.06,0.04,-0.0,179.63,3838.40626002,248.318034886,0.118485491225,0.000940720868384,122.856578167,DEER
5469.24074074,419.070648148,0.229722222222,-0.00351851851852,175.715648148,37.0,0.0,0.0,-0.38,0.0,23894.0,2647.78,14.01,-0.0,359.63,4057.5,213.85,0.05,0.0,179.615,3747.26644262,513.489781551,1.34727239739,0.0365655170487,111.930366548,DEER
103414.791667,528.804583333,0.124583333333,0.0,195.117916667,1813.0,85.02,0.0,0.0,1.23,2347214.0,1783.67,0.43,0.0,359.62,4098.5,350.65,0.095,0.0,176.92,477942.476187,443.482877989,0.116207429481,0.0,116.840049677,DEER
266645.910256,238.078717949,0.0398717948718,0.0,202.332179487,622.0,0.0,0.0,0.0,0.0,20290161.0,2967.07,0.51,0.0,359.63,4411.5,125.85,0.02,0.0,187.2,2296670.4628,397.364234387,0.0663421589284,0.0,120.974138641,DEER
4971.32258065,205.302096774,0.0966129032258,-0.000645161290323,171.411774194,84.0,0.0,0.0,-0.04,0.0,14649.0,816.75,3.07,0.0,359.63,4342.5,135.33,0.03,0.0,179.63,2200.74555008,165.448633801,0.387475831286,0.00508000508001,113.735177172,DEER
5063.41666667,202.962833333,0.0596666666667,0.0,202.4275,617.0,14.36,0.0,-0.0,4.06,21566.0,1113.23,1.04,-0.0,359.63,4278.5,127.55,0.02,0.0,182.58,2869.60884982,213.098909738,0.129964011394,0.0,113.29149936,DEER
5494.14414414,209.66990991,0.0615315315315,-0.00027027027027,173.471261261,62.0,0.0,0.0,-0.03,0.0,15632.0,2696.62,2.06,0.0,359.63,4953.0,129.08,0.02,0.0,179.63,2439.26532101,335.405462151,0.204420236492,0.00284747398726,117.932536702,DEER
5985.01,316.3183,0.0811,0.0,161.4117,630.0,0.0,0.0,0.0,0.0,23869.0,1775.53,1.46,0.0,359.63,5029.5,219.205,0.04,0.0,179.63,3001.47540654,324.715726239,0.171710909274,0.0,111.02833918,DEER
6017.05,347.1662,0.0754,0.0,190.1847,895.0,0.0,0.0,-0.0,0.0,16203.0,4265.48,1.41,-0.0,359.63,5187.5,212.87,0.03,0.0,187.57,2522.29075125,522.188856331,0.158199592639,0.0,112.28900784,DEER
8748.38888889,480.529583333,0.340138888889,-0.00305555555556,179.840277778,83.0,28.73,0.0,-0.22,1.11,61574.0,2437.97,18.52,0.0,359.63,5255.5,257.485,0.04,0.0,186.925,8368.25585435,556.191286057,2.17989565137,0.0259272486435,116.880930781,DEER
7238.45121951,331.97097561,0.0563414634146,0.0,185.808170732,1367.0,28.74,0.01,-0.0,1.39,28256.0,1541.3,0.33,-0.0,359.63,5269.0,278.055,0.04,0.0,182.76,4317.95481753,259.262479198,0.0530667456523,0.0,116.206598696,DEER
6807.48275862,495.649195402,0.0897701149425,0.0,197.746781609,2073.0,14.37,0.0,0.0,1.01,20653.0,6417.78,1.03,0.0,359.63,5212.0,255.31,0.04,-0.0,186.01,3755.98386102,887.019485594,0.168660778387,0.0,109.623517958,DEER
33353.6976744,443.221395349,0.0537209302326,0.0,187.332325581,848.0,28.73,0.0,-0.0,2.84,1022158.0,5741.3,0.5,-0.0,356.38,5824.0,256.6,0.04,0.0,179.63,155042.382899,867.575310214,0.0765015796853,0.0,105.839695673,DEER
9243.97727273,351.280909091,0.0522727272727,0.0,173.527272727,1605.0,14.39,0.0,-0.0,4.43,39768.0,1680.67,0.24,-0.0,358.4,6943.5,260.28,0.035,0.0,177.26,7804.94688833,323.204773507,0.0555255498015,0.0,115.668361363,DEER
12840.6326531,555.21755102,0.0628571428571,0.0,168.327346939,5264.0,0.0,0.0,-0.0,0.0,123480.0,2558.94,0.49,-0.0,359.61,7325.0,369.99,0.02,0.0,179.62,17510.7118439,617.272630338,0.0932514521781,0.0,117.892715508,DEER
66469.0555556,475.076666667,0.0861111111111,0.0,120.502222222,685.0,14.37,0.0,0.0,4.06,996657.0,1971.23,0.77,0.0,344.33,8116.0,277.28,0.03,-0.0,115.715,232376.273767,550.087670489,0.183884199139,0.0,112.110870993,DEER
74166.25,968.95875,0.01625,0.0,133.8525,7055.0,14.36,0.0,-0.0,13.36,282285.0,2571.49,0.04,-0.0,340.7,26843.0,476.215,0.01,0.0,138.72,95546.5977487,992.786793202,0.0130247018063,0.0,116.330723586,DEER
5182692.5,1236.985,0.0125,0.0,192.6075,7370.0,42.52,0.0,-0.0,11.66,20605236.0,3647.66,0.04,-0.0,359.63,59082.0,628.88,0.005,-0.0,199.57,10281766.614,1698.84585839,0.018929694486,0.0,142.29131957,DEER
105683.0,506.596,0.014,0.0,133.164,9966.0,175.87,0.0,-0.0,22.76,228495.0,803.19,0.04,-0.0,220.36,125667.0,635.46,0.01,-0.0,187.27,91737.7955016,290.185489954,0.0167332005307,0.0,99.8147510642,DEER
65073.4,422.703,0.015,0.0,128.607,968.0,28.73,0.0,0.0,10.05,251495.0,1140.42,0.03,0.0,266.75,22124.5,337.78,0.015,-0.0,189.27,80693.742459,334.411550706,0.0126929551764,0.0,100.942933719,DEER
21506.12,560.5068,0.052,0.0,124.9108,912.0,0.0,0.0,0.0,0.0,92083.0,1990.25,0.24,0.0,359.63,12800.0,291.69,0.03,-0.0,179.63,25252.1199478,604.499975605,0.0612372435696,0.0,106.382415876,DEER
175731.875,381.5525,0.035,0.0,105.84375,1021.0,14.37,0.0,-0.0,3.48,1245246.0,1259.41,0.1,-0.0,349.97,12929.0,280.835,0.02,0.0,48.59,432871.658973,403.142691709,0.04,0.0,127.166223721,DEER
213096.0,351.315,0.0,0.0,102.16,172827.0,177.57,0.0,0.0,10.66,253365.0,525.06,0.0,0.0,193.66,213096.0,351.315,0.0,0.0,102.16,56948.9659432,245.712535395,0.0,0.0,129.400540957,DEER
52824.3333333,270.070833333,0.025,0.0,133.881666667,1214.0,0.0,0.0,0.0,0.0,126548.0,611.98,0.18,0.0,359.63,55390.5,257.355,0.0,-0.0,181.005,39541.9776563,200.949777509,0.0521361853052,0.0,120.623391432,DEER
113146.0,259.902857143,0.0328571428571,0.0,163.801428571,1234.0,52.51,0.0,-0.0,12.17,254597.0,669.04,0.21,-0.0,349.97,135803.0,132.17,0.0,0.0,189.13,92127.2975363,233.899588122,0.0784674636849,0.0,118.336294718,DEER
204534.0,524.066666667,0.00666666666667,0.0,129.1,57787.0,129.09,0.0,0.0,10.05,294159.0,872.83,0.02,0.0,191.24,261656.0,570.28,0.0,-0.0,186.01,128121.515597,374.017447499,0.0115470053838,0.0,103.133481954,DEER
53010.125,739.925,0.0125,0.0,101.44375,5180.0,45.57,0.0,-0.0,8.51,171895.0,2686.92,0.03,-0.0,197.98,39062.5,521.835,0.01,0.0,103.105,51764.6358722,880.557790381,0.0103509833901,0.0,96.2253073242,DEER
102124.666667,1127.82833333,0.0116666666667,0.0,77.7266666667,5228.0,136.64,0.0,0.0,4.24,215585.0,2576.48,0.03,0.0,205.9,102272.5,1206.94,0.01,0.0,19.13,69057.8649414,905.840728946,0.0116904519445,0.0,97.6216833837,DEER
28076.55,83.6285,0.0105,0.0,138.2695,665.0,0.0,0.0,0.0,0.0,79536.0,291.63,0.13,0.0,349.98,20637.0,79.335,0.0,0.0,123.745,25864.5646467,80.566203524,0.0287411313552,0.0,118.340330869,DEER
60324.8,209.239,0.006,0.0,126.018,6987.0,42.51,0.0,-0.0,10.96,155018.0,437.96,0.02,-0.0,359.63,59715.0,214.03,0.0,0.0,109.18,45657.1039204,129.232627326,0.00843274042712,0.0,120.71137899,DEER
37784.875,202.92125,0.025,0.0,172.105625,774.0,14.36,0.0,0.0,17.99,132616.0,779.54,0.17,0.0,359.63,27109.0,128.72,0.01,0.0,203.87,36852.6990597,198.866447308,0.0484424056656,0.0,120.225386225,DEER
17007.9117647,182.614117647,0.0473529411765,0.0,169.601764706,680.0,0.0,0.0,0.0,0.0,64000.0,694.96,0.32,0.0,359.63,7953.0,136.645,0.01,0.0,190.415,17308.1437941,168.329658978,0.0872929176734,0.0,112.5250365,DEER
19750.6129032,228.56483871,0.108064516129,0.0,162.51516129,383.0,14.36,0.0,-0.0,1.56,249353.0,751.44,1.54,-0.0,359.63,7062.0,136.64,0.01,0.0,179.63,44534.9226658,185.827590863,0.290200153398,0.0,109.176170412,DEER
21702.8571429,225.198571429,0.015,0.0,132.376428571,774.0,0.0,0.0,0.0,0.0,76247.0,997.27,0.07,0.0,359.63,15301.5,172.615,0.01,-0.0,158.95,16169.6470763,222.98557641,0.0166666666667,0.0,117.273374302,DEER
16208.7111111,200.103777778,0.120444444444,-0.000444444444444,167.582666667,164.0,0.0,0.0,-0.02,0.0,175253.0,836.97,2.75,0.0,359.63,13246.0,127.65,0.01,0.0,179.63,26969.3987854,207.112279906,0.430717981744,0.00298142397,111.6446041,DEER
76905.8571429,926.578571429,0.0757142857143,0.0,147.751428571,696.0,14.36,0.0,0.0,7.8,429531.0,1859.49,0.22,0.0,349.97,20354.0,908.74,0.03,-0.0,186.54,156408.656989,673.409960733,0.0927105069301,0.0,121.80089907,DEER
17023.0,671.2575,0.05,0.0,97.765,-0.0,0.0,0.0,0.0,0.0,52573.0,1342.91,0.1,0.0,359.63,7759.5,671.06,0.05,0.0,15.715,23980.6285294,556.676203094,0.0439696865276,0.0,174.773352755,DEER
1869.71333333,150.503066667,0.183333333333,-0.0008,192.740533333,48.0,0.0,0.0,-0.04,0.0,7647.0,1150.79,6.08,0.0,359.62,1593.5,85.5,0.05,0.0,179.62,1084.54476478,210.605855617,0.631923309707,0.00524820199317,120.023668677,DEER
